Row,Col,X,Y,Value
1,1,438026.98377948476,3265197.4148758007,176.53676
1,2,438114.29494318075,3265197.4148758007,273.02582
1,3,438201.60610687674,3265197.4148758007,243.80829
1,4,438288.91727057274,3265197.4148758007,265.4642
1,5,438376.22843426873,3265197.4148758007,275.50317
1,6,438463.53959796473,3265197.4148758007,272.2014
1,7,438550.8507616607,3265197.4148758007,265.10135
1,8,438638.1619253567,3265197.4148758007,282.6797
1,9,438725.4730890527,3265197.4148758007,288.29276
1,10,438812.7842527487,3265197.4148758007,248.57011
1,11,438900.0954164447,3265197.4148758007,245.95158
1,12,438987.4065801407,3265197.4148758007,244.97325
1,13,439074.7177438367,3265197.4148758007,250.04071
1,14,439162.0289075327,3265197.4148758007,245.36713
1,15,439249.3400712287,3265197.4148758007,252.05228
1,16,439336.6512349247,3265197.4148758007,271.22336
1,17,439423.9623986207,3265197.4148758007,240.02788
1,18,439511.27356231667,3265197.4148758007,214.49475
1,19,439598.58472601266,3265197.4148758007,212.94742
1,20,439685.89588970866,3265197.4148758007,199.10663
1,21,439773.20705340465,3265197.4148758007,184.12352
1,22,439860.51821710065,3265197.4148758007,156.11443
1,23,439947.82938079664,3265197.4148758007,141.0897
1,24,440035.14054449263,3265197.4148758007,108.7188
1,25,440122.45170818863,3265197.4148758007,85.501625
1,26,440209.7628718846,3265197.4148758007,109.27267
1,27,440297.0740355806,3265197.4148758007,117.03433
1,28,440384.3851992766,3265197.4148758007,208.44943
1,29,440471.6963629726,3265197.4148758007,306.4309
1,30,440559.0075266686,3265197.4148758007,248.15727
1,31,440646.3186903646,3265197.4148758007,184.05962
1,32,440733.6298540606,3265197.4148758007,-3.402823e+38
1,33,440820.9410177566,3265197.4148758007,-3.402823e+38
1,34,440908.2521814526,3265197.4148758007,-3.402823e+38
1,35,440995.5633451486,3265197.4148758007,-3.402823e+38
1,36,441082.8745088446,3265197.4148758007,-3.402823e+38
1,37,441170.18567254057,3265197.4148758007,-3.402823e+38
1,38,441257.49683623656,3265197.4148758007,-3.402823e+38
1,39,441344.80799993256,3265197.4148758007,-3.402823e+38
1,40,441432.11916362855,3265197.4148758007,170.30196
1,41,441519.43032732455,3265197.4148758007,190.71167
